date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,opp_formation,referee,match_report,notes,team
2026-03-31,20:30 (18:30),Friendlies (M),Friendlies (M),Tue,Home,W,5.0,0.0,zm Zambia,,50000.0,Lionel Messi,4-1-4-1,4-2-3-1,Alexis Herrera,Match Report,,Argentina
2026-03-27,20:15 (18:15),Friendlies (M),Friendlies (M),Fri,Home,W,2.0,1.0,mr Mauritania,,45760.0,Cristian Romero,4-1-4-1,4-2-2-2,Derlis López,Match Report,,Argentina
2025-11-14,17:00 (11:00),Friendlies (M),Friendlies (M),Fri,Away,W,2.0,0.0,ao Angola,,,Lionel Messi,3-4-3,4-2-2-2,Hillary Hambaba,Match Report,,Argentina
2025-10-14,20:00 (19:00),Friendlies (M),Friendlies (M),Tue,Neutral,W,6.0,0.0,pr Puerto Rico,,,Lionel Messi,4-2-2-2,4-5-1,Armando Villarreal,Match Report,,Argentina
2025-10-10,20:00 (19:00),Friendlies (M),Friendlies (M),Fri,Neutral,W,1.0,0.0,ve Venezuela,,,Cristian Romero,4-2-2-2,4-2-3-1,Tori Penso,Match Report,,Argentina
2025-09-09,18:00,WCQ,World Cup qualification,Tue,Away,L,0.0,1.0,ec Ecuador,57.0,,Nicolás Otamendi,4-2-3-1,4-4-1-1,Wilmar Roldán,Match Report,,Argentina
2025-09-04,20:30 (18:30),WCQ,World Cup qualification,Thu,Home,W,3.0,0.0,ve Venezuela,77.0,,Lionel Messi,4-2-2-2,5-3-2,Piero Maza,Match Report,,Argentina
2025-06-10,21:00 (19:00),WCQ,World Cup qualification,Tue,Home,D,1.0,1.0,co Colombia,64.0,,Lionel Messi,4-3-3,4-3-3,Juan Gabriel Benítez,Match Report,,Argentina
2025-06-05,21:00 (20:00),WCQ,World Cup qualification,Thu,Away,W,1.0,0.0,cl Chile,66.0,,Cristian Romero,4-2-3-1,4-3-3,Jesús Valenzuela,Match Report,,Argentina
2025-03-25,21:00 (19:00),WCQ,World Cup qualification,Tue,Home,W,4.0,1.0,br Brazil,56.0,,Nicolás Otamendi,4-1-3-2,4-2-3-1,Andrés Rojas,Match Report,,Argentina
