date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,opp_formation,referee,match_report,notes,team
2026-03-31,20:45 (13:45),Friendlies (M),Friendlies (M),Tue,Home,W,1.0,0.0,kr Korea Republic,,35300.0,Marko Arnautović,4-2-3-1,3-4-3,Sander van der Eijk,Match Report,,Austria
2026-03-27,18:00 (12:00),Friendlies (M),Friendlies (M),Fri,Home,W,5.0,1.0,gh Ghana,,40200.0,Marcel Sabitzer,4-2-3-1,4-2-3-1,Mohammed Khaled Al Hoish,Match Report,,Austria
2025-11-18,20:45 (14:45),WCQ,First round,Tue,Home,D,1.0,1.0,ba Bosnia-Herzegovina,70.0,48000.0,Marko Arnautović,4-2-3-1,4-4-2,João Pinheiro,Match Report,,Austria
2025-11-15,19:00 (12:00),WCQ,First round,Sat,Away,W,2.0,0.0,cy Cyprus,63.0,6012.0,Marko Arnautović,4-2-3-1,4-1-4-1,Urs Schnyder,Match Report,,Austria
2025-10-12,21:45 (13:45),WCQ,First round,Sun,Away,L,0.0,1.0,ro Romania,54.0,39581.0,David Alaba,4-2-3-1,4-3-3,Davide Massa,Match Report,,Austria
2025-10-09,20:45 (13:45),WCQ,First round,Thu,Home,W,10.0,0.0,sm San Marino,71.0,37500.0,David Alaba,4-2-3-1,4-5-1,Igal Frid,Match Report,,Austria
2025-09-09,20:45 (13:45),WCQ,First round,Tue,Away,W,2.0,1.0,ba Bosnia-Herzegovina,58.0,11700.0,David Alaba,4-2-3-1,4-3-3,Jesús Gil,Match Report,,Austria
2025-09-06,20:45 (13:45),WCQ,First round,Sat,Home,W,1.0,0.0,cy Cyprus,71.0,16300.0,David Alaba,4-2-3-1,4-3-2-1,Jakob Kehlet,Match Report,,Austria
2025-06-10,20:45 (13:45),WCQ,First round,Tue,Away,W,4.0,0.0,sm San Marino,67.0,3075.0,Marko Arnautović,4-2-3-1,4-3-3,Ondřej Berka,Match Report,,Austria
2025-06-07,20:45 (13:45),WCQ,First round,Sat,Home,W,2.0,1.0,ro Romania,60.0,48500.0,Marcel Sabitzer,4-2-3-1,4-4-2,Maurizio Mariani,Match Report,,Austria
